rank,id,tier,weighted,quota_value,quota_ceiling,price_floor,guardrail_freedom,coding_power,web_access,context_limits,harness_fit,throughput,reliability,privacy
1,opencode-go,A,4.150,5,3,5,4,5,1,5,5,3,4,4
2,zai-glm-coding,A,4.125,4,4,4,4,5,5,4,5,4,3,2
3,zai-api,B,4.100,1,5,5,4,5,5,5,5,4,4,2
4,minimax-token-plan,A,3.950,5,5,5,4,3,0,5,5,4,3,2
5,openrouter,B,3.875,1,5,5,4,5,2,5,5,3,4,3
6,opencode-zen,B,3.700,1,5,5,3,5,0,5,5,4,4,4
7,xai-grok-api,B,3.675,1,5,3,5,5,4,4,3,4,4,3
8,deepseek-api,B,3.625,1,5,5,4,4,0,5,5,4,4,2
9,synthetic-new,A,3.525,3,4,3,4,4,0,3,5,4,4,4
10,chutes,A,3.500,4,3,5,5,5,0,4,3,2,2,3
11,kimi-code,A,3.400,3,3,3,4,5,0,5,5,2,3,2
12,venice,A,3.375,2,2,4,5,3,4,3,3,3,4,5
13,xiaomi-mimo-plan,A,3.350,4,4,5,4,3,0,5,3,3,2,2
14,cerebras-code,A,3.325,5,5,2,4,3,0,2,3,5,3,4
15,alibaba-coding-plan,A,3.225,3,4,3,3,5,0,4,4,3,3,2
16,nous-portal,A,3.125,1,2,4,5,3,5,2,3,3,3,4
17,llmgateway-devpass,A,3.125,3,4,2,1,5,0,5,5,3,3,3
18,stepfun-step-plan,A,3.000,4,3,5,4,2,0,3,3,3,2,2
19,factory-droid,A,3.000,2,3,4,1,5,4,3,3,3,3,3
20,cohere-command-code,A,2.675,2,2,4,1,3,3,3,3,3,3,4
