rank,id,tier,weighted,quota_value,quota_ceiling,price_floor,guardrail_freedom,coding_power,web_access,context_limits,harness_fit,throughput,reliability,privacy
1,zai-api,B,4.025,1,5,5,4,5,5,5,5,4,4,2
2,zai-glm-coding,A,4.000,4,4,4,4,5,5,4,5,4,3,2
3,opencode-go,A,3.850,5,3,5,4,5,1,5,5,3,4,4
4,minimax-token-plan,A,3.775,5,5,5,4,3,0,5,5,4,3,2
5,openrouter,B,3.650,1,5,5,4,5,2,5,5,3,4,3
6,xai-grok-api,B,3.625,1,5,3,5,5,4,4,3,4,4,3
7,opencode-zen,B,3.450,1,5,5,3,5,0,5,5,4,4,4
8,venice,A,3.400,2,2,4,5,3,4,3,3,3,4,5
9,deepseek-api,B,3.375,1,5,5,4,4,0,5,5,4,4,2
10,synthetic-new,A,3.250,3,4,3,4,4,0,3,5,4,4,4
11,cerebras-code,A,3.250,5,5,2,4,3,0,2,3,5,3,4
12,xiaomi-mimo-plan,A,3.225,4,4,5,4,3,0,5,3,3,2,2
13,chutes,A,3.150,4,3,5,5,5,0,4,3,2,2,3
14,nous-portal,A,3.150,1,2,4,5,3,5,2,3,3,3,4
15,kimi-code,A,2.975,3,3,3,4,5,0,5,5,2,3,2
16,factory-droid,A,2.950,2,3,4,1,5,4,3,3,3,3,3
17,alibaba-coding-plan,A,2.900,3,4,3,3,5,0,4,4,3,3,2
18,stepfun-step-plan,A,2.875,4,3,5,4,2,0,3,3,3,2,2
19,llmgateway-devpass,A,2.850,3,4,2,1,5,0,5,5,3,3,3
20,cohere-command-code,A,2.725,2,2,4,1,3,3,3,3,3,3,4
