rank,id,tier,weighted,quota_value,quota_ceiling,price_floor,guardrail_freedom,coding_power,web_access,context_limits,harness_fit,throughput,reliability,privacy
1,opencode-go,A,4.355,5,3,5,4,5,1,5,5,3,4,4
2,zai-glm-coding,A,4.161,4,4,4,4,5,5,4,5,4,3,2
3,minimax-token-plan,A,4.129,5,5,5,4,3,0,5,5,4,3,2
4,zai-api,B,4.065,1,5,5,4,5,5,5,5,4,4,2
5,openrouter,B,3.871,1,5,5,4,5,2,5,5,3,4,3
6,opencode-zen,B,3.710,1,5,5,3,5,0,5,5,4,4,4
7,chutes,A,3.677,4,3,5,5,5,0,4,3,2,2,3
8,deepseek-api,B,3.645,1,5,5,4,4,0,5,5,4,4,2
9,xiaomi-mimo-plan,A,3.548,4,4,5,4,3,0,5,3,3,2,2
10,kimi-code,A,3.484,3,3,3,4,5,0,5,5,2,3,2
11,synthetic-new,A,3.452,3,4,3,4,4,0,3,5,4,4,4
12,xai-grok-api,B,3.452,1,5,3,5,5,4,4,3,4,4,3
13,venice,A,3.323,2,2,4,5,3,4,3,3,3,4,5
14,alibaba-coding-plan,A,3.258,3,4,3,3,5,0,4,4,3,3,2
15,cerebras-code,A,3.194,5,5,2,4,3,0,2,3,5,3,4
16,stepfun-step-plan,A,3.194,4,3,5,4,2,0,3,3,3,2,2
17,llmgateway-devpass,A,3.161,3,4,2,1,5,0,5,5,3,3,3
18,factory-droid,A,3.065,2,3,4,1,5,4,3,3,3,3,3
19,nous-portal,A,3.032,1,2,4,5,3,5,2,3,3,3,4
20,cohere-command-code,A,2.774,2,2,4,1,3,3,3,3,3,3,4
